latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-11.945,-49.47,309.8,1.1,1.1,2016-10-18,01:45,T,68,5.0       ,295.6,12.5
-11.71,-47.835,319,1,1,2016-10-18,01:45,T,72,5.0       ,294.8,22.3
-11.711,-47.844,329.8,1,1,2016-10-18,01:45,T,100,5.0       ,295.2,36.4
-11.653,-48.019,306.3,1,1,2016-10-18,01:45,T,15,5.0       ,296,6.2
-11.279,-45.494,329.3,1.1,1,2016-10-18,01:45,T,100,5.0       ,296.9,40.6
-11.263,-45.517,335.2,1.1,1,2016-10-18,01:45,T,100,5.0       ,297.7,49.5
-11.265,-45.527,347.3,1.1,1,2016-10-18,01:45,T,100,5.0       ,301.2,75
-11.266,-45.537,341.8,1.1,1,2016-10-18,01:45,T,100,5.0       ,299.5,64.4
-11.624,-48.014,305.7,1,1,2016-10-18,01:45,T,31,5.0       ,295.1,6.7
-11.254,-45.519,313.2,1.1,1,2016-10-18,01:45,T,81,5.0       ,294.4,16.3
-11.255,-45.529,359.9,1.1,1,2016-10-18,01:45,T,100,5.0       ,302.6,110
-11.257,-45.539,424.8,1.1,1,2016-10-18,01:45,T,100,5.0       ,313,497
-11.258,-45.549,310.2,1.1,1,2016-10-18,01:45,T,48,5.0       ,292.9,15.4
-12.038,-51.626,311.5,1.5,1.2,2016-10-18,01:45,T,75,5.0       ,294.6,23.7
-11.462,-47.909,309.5,1,1,2016-10-18,01:45,T,67,5.0       ,296.8,10.1
-11.339,-47.108,305.7,1,1,2016-10-18,01:45,T,35,5.0       ,295.2,6.4
-10.997,-44.84,309.5,1.2,1.1,2016-10-18,01:45,T,66,5.0       ,294.5,15.3
-10.214,-52.732,307.4,1.7,1.3,2016-10-18,01:45,T,37,5.0       ,293.9,17.9
-10.2,-52.718,311.6,1.7,1.3,2016-10-18,01:45,T,48,5.0       ,294.1,26.5
-10.204,-52.723,316.3,1.7,1.3,2016-10-18,01:45,T,91,5.0       ,294.4,38.1
-10.422,-54.389,305.4,2.3,1.5,2016-10-18,01:45,T,30,5.0       ,291.9,26.2
-9.203,-45.834,306.3,1.1,1.1,2016-10-18,01:45,T,44,5.0       ,294.6,9.2
-9.318,-47.828,307.3,1,1,2016-10-18,01:45,T,53,5.0       ,296.5,7.6
-9.319,-47.837,313.2,1,1,2016-10-18,01:45,T,81,5.0       ,296.7,13.2
-9.267,-48.701,308.1,1,1,2016-10-18,01:45,T,59,5.0       ,296.2,7.5
-9.257,-48.703,311,1,1,2016-10-18,01:45,T,73,5.0       ,296.3,10
-9.338,-49.343,325.7,1.1,1,2016-10-18,01:45,T,100,5.0       ,296.8,31.2
-9.01,-48.119,315.7,1,1,2016-10-18,01:45,T,89,5.0       ,296.9,16.6
-9.001,-48.12,363.8,1,1,2016-10-18,01:45,T,100,5.0       ,298.1,107.3
-9.002,-48.129,320.9,1,1,2016-10-18,01:45,T,100,5.0       ,296.1,22.5
-9.158,-49.371,310.1,1.1,1,2016-10-18,01:45,T,69,5.0       ,296.8,10.7
-8.953,-47.98,307.6,1,1,2016-10-18,01:45,T,55,5.0       ,295.3,9.1
-9.148,-49.373,319.2,1.1,1,2016-10-18,01:45,T,98,5.0       ,296.4,20.6
-9.15,-49.382,319.9,1.1,1,2016-10-18,01:45,T,99,5.0       ,297,22.1
-8.952,-48.3,306.6,1,1,2016-10-18,01:45,T,47,5.0       ,296.3,7.6
-8.954,-48.309,311.7,1,1,2016-10-18,01:45,T,76,5.0       ,296.2,12.5
-8.927,-48.443,307.5,1,1,2016-10-18,01:45,T,54,5.0       ,295.8,8.6
-8.556,-45.945,306.5,1.1,1.1,2016-10-18,01:45,T,35,5.0       ,294.7,9.1
-8.295,-44.29,313.9,1.4,1.2,2016-10-18,01:45,T,84,5.0       ,293,27.3
-8.957,-49.179,310.7,1,1,2016-10-18,01:45,T,72,5.0       ,296.3,11.7
-4.566,-46.28,306.1,1.2,1.1,2016-10-18,01:45,T,42,5.0       ,292.6,11.5
-4.789,-47.813,307.9,1,1,2016-10-18,01:45,T,58,5.0       ,292.8,10
-4.79,-47.822,310.5,1,1,2016-10-18,01:45,T,71,5.0       ,293.6,12.7
-4.464,-45.935,316.8,1.2,1.1,2016-10-18,01:45,T,92,5.0       ,293.8,25
-4.52,-46.389,328.2,1.2,1.1,2016-10-18,01:45,T,100,5.0       ,294.9,41.9
-4.521,-46.4,315.9,1.2,1.1,2016-10-18,01:45,T,89,5.0       ,293.8,22.5
-4.218,-44.548,307.9,1.5,1.2,2016-10-18,01:45,T,57,5.0       ,293.7,15.2
-4.207,-44.549,305.7,1.5,1.2,2016-10-18,01:45,T,24,5.0       ,293.5,11.5
